"No.","Ticker","Company","Sector","Industry","Index","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","Shares Outstanding","Shares Float","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","Relative Volume","Volume","Price","Change"
3024,"RARE","Ultragenyx Pharmaceutical Inc.","Healthcare","Biotechnology","-",3600.72,,,,9.38,15.92,5.72,,3.13,8.71,,,,-10.26,-51.10%,168.30%,25.80%,-6.30%,383.90,-719.10,70.37,66.65,5.24%,5.40,3.49,-49.00%,-167.20%,-185.60%,3.50,0.00,0.00,91.00%,,,14.66%,44.06%,8.51%,7.55%,4.77%,16.51%,16.48%,-27.45%,0.87,565756,49.83,-0.18%
3025,"RAVI","FlexShares Ultra-Short Income Fund","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.88,2.51%,,,,,,,,,,,,,,,,,,,,,,,-0.09%,0.55%,0.06%,0.52%,0.02%,0.05%,0.32%,-0.20%,0.61,29386,74.79,0.00%
3026,"RAYS","Global X Solar ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.36%,-15.09%,-2.42%,-7.75%,0.40%,-3.82%,-11.02%,-26.63%,0.29,567,18.80,-1.52%
3027,"RBA","Ritchie Bros. Auctioneers Incorporated","Industrials","Specialty Business Services","-",9405.02,54.41,18.83,7.77,5.08,1.32,16.55,,40.35,3.23,1.08,2.02%,104.70%,0.98,109.60%,12.30%,30.10%,-117.80%,1852.30,107.40,120.49,110.78,5.08%,1.91,5.62,2.10%,5.00%,19.20%,1.30,0.65,0.69,55.00%,10.60%,5.80%,-10.58%,1.75%,-8.01%,-5.77%,-3.96%,-4.65%,-9.48%,-25.07%,0.63,1852752,53.38,-1.98%
3028,"RBB","RBB Bancorp","Financial","Banks - Regional","-",214.23,3.47,5.37,,1.10,0.42,0.87,3.32,26.15,12.67,0.64,5.81%,18.20%,3.17,16.30%,19.60%,35.90%,-21.30%,195.20,60.70,18.91,15.44,0.89%,3.35,0.14,1.50%,12.70%,17.50%,,0.38,0.38,,73.20%,31.10%,-44.48%,-50.05%,-46.94%,-47.15%,8.02%,-15.00%,-42.30%,-53.62%,1.07,44144,11.02,1.29%
3029,"RBCAA","Republic Bancorp, Inc.","Financial","Banks - Regional","-",847.18,9.26,9.97,0.93,3.01,0.95,3.08,7.49,44.25,13.71,1.50,3.55%,30.60%,4.56,7.40%,2.20%,56.60%,0.00%,281.00,91.30,19.93,8.82,0.85%,3.95,0.08,1.50%,10.70%,22.00%,,0.00,0.00,,80.80%,32.50%,-6.14%,-2.56%,-4.57%,3.10%,5.68%,4.66%,-0.22%,-15.89%,0.60,11469,42.19,1.03%
3030,"RBLX","Roblox Corporation","Communication Services","Electronic Gaming & Multimedia","-",25761.85,,,,10.99,97.85,11.50,,0.41,3.49,,,,-1.72,-85.00%,,22.00%,-62.50%,2343.30,-1032.50,606.64,524.95,3.82%,1.95,20.05,-19.90%,-270.90%,-71.60%,1.10,3.99,3.99,75.90%,-45.30%,-44.10%,9.47%,25.37%,38.68%,40.97%,5.34%,-2.04%,5.13%,-25.54%,0.43,4398344,40.12,1.54%
3031,"RC","Ready Capital Corporation","Real Estate","REIT - Mortgage","-",1175.93,7.87,6.54,0.55,1.38,0.70,10.57,8.97,15.08,0.99,1.04,9.89%,142.10%,1.34,-19.50%,38.40%,77.00%,-56.40%,853.20,148.40,110.67,109.33,7.96%,5.42,8.70,1.30%,8.70%,0.70%,,5.58,5.62,36.10%,14.10%,17.40%,-5.73%,-20.00%,-23.27%,-5.57%,0.72%,2.83%,-10.16%,-25.45%,0.92,1472403,10.52,0.00%
3032,"RCEL","AVITA Medical, Inc.","Healthcare","Medical Devices","-",287.98,,,,7.70,3.56,3.92,,3.08,2.79,,,,-1.05,-84.20%,,41.30%,3.60%,37.40,-26.40,25.20,24.78,1.87%,2.31,0.46,-26.90%,-30.80%,-32.50%,7.20,0.00,0.00,85.10%,-74.40%,-70.60%,-16.86%,52.08%,101.29%,65.91%,-20.51%,-22.12%,20.74%,-35.17%,0.63,126328,10.95,2.34%
3033,"RCI","Rogers Communications Inc.","Communication Services","Telecom Services","-",23812.87,17.18,7.93,1.17,2.06,2.98,58.14,,15.18,0.78,1.47,3.25%,75.80%,2.63,7.80%,1.40%,6.00%,30.40%,11564.40,1332.60,505.00,352.98,1.47%,17.53,5.18,3.30%,17.60%,6.20%,1.90,3.02,3.65,41.70%,23.50%,11.50%,-5.28%,0.38%,-12.34%,-3.52%,-7.27%,-5.60%,-0.17%,-13.35%,1.21,356934,45.19,-0.92%
3034,"RCKT","Rocket Pharmaceuticals, Inc.","Healthcare","Biotechnology","-",1656.78,,,,,3.67,5.00,,5.78,4.24,,,,-3.31,-21.80%,,,-10.20%,,-237.20,79.45,75.33,10.75%,9.76,8.10,-49.50%,-55.70%,,10.80,0.04,0.05,,,,14.84%,16.55%,113.93%,8.33%,3.66%,13.30%,15.24%,-9.71%,0.55,453051,21.20,1.58%
3035,"RCKY","Rocky Brands, Inc.","Consumer Cyclical","Footwear & Accessories","-",142.48,11.12,5.47,1.11,0.25,0.66,29.08,9.08,29.17,0.66,0.62,3.22%,35.70%,1.73,0.10%,19.40%,-33.90%,-105.50%,558.90,12.70,7.35,6.83,2.38%,4.68,0.16,2.10%,6.00%,8.20%,3.40,1.01,1.03,36.90%,6.20%,2.30%,-28.67%,-29.89%,-45.86%,-18.37%,-8.75%,-16.57%,-22.54%,-49.86%,0.90,31092,19.28,2.88%
3036,"RCL","Royal Caribbean Cruises Ltd.","Consumer Cyclical","Travel Services","S&P 500",20337.76,,11.44,,1.91,7.08,16.58,28.18,11.16,4.77,,,,-4.06,59.50%,0.10%,172.40%,95.90%,10666.50,-1036.70,255.47,219.97,8.53%,5.30,18.77,-3.10%,-33.60%,-3.30%,0.30,6.80,7.53,33.90%,2.60%,-9.70%,9.66%,33.13%,54.63%,59.82%,4.99%,16.86%,35.63%,-2.66%,0.56,1971744,79.00,1.41%
3037,"RCLF","Rosecliff Acquisition Corp I","Financial","Shell Companies","-",69.66,,,,,,139.31,,-1.27,0.07,,,0.00%,-0.06,615.50%,,,-184.70%,,2.70,6.78,0.46,1.01%,0.11,0.00,2.10%,2.30%,,0.20,,,,,,2.48%,5.08%,5.18%,2.48%,-0.47%,-2.07%,2.77%,-36.31%,0.19,8041,10.35,-1.15%
3038,"RCM","R1 RCM Inc.","Healthcare","Health Information Services","-",6684.49,,65.55,,3.70,2.46,60.71,,6.53,0.26,,,0.00%,-0.14,-785.00%,20.00%,33.60%,-168.80%,1806.40,-57.60,416.68,303.12,6.95%,9.13,21.05,0.40%,0.70%,10.30%,1.60,0.64,0.66,20.00%,3.20%,0.90%,13.10%,101.51%,-24.32%,46.67%,-0.65%,4.83%,5.06%,-40.67%,0.54,1243464,16.06,1.52%
3039,"RCMT","RCM Technologies, Inc.","Industrials","Conglomerates","-",128.08,8.03,6.74,0.54,0.45,4.87,426.93,7.86,3.30,0.04,,,0.00%,2.00,111.60%,8.80%,8.20%,-7.50%,284.70,20.90,9.69,6.57,4.90%,3.18,0.32,27.40%,65.20%,51.10%,1.50,0.28,0.30,29.10%,10.20%,7.70%,10.83%,6.71%,-27.55%,30.23%,17.36%,28.78%,11.04%,-44.24%,0.34,33995,16.07,1.32%
3040,"RCUS","Arcus Biosciences, Inc.","Healthcare","Biotechnology","-",1552.45,,,,13.05,2.68,1.63,,8.22,13.54,,,,-3.85,-619.20%,139.80%,38.90%,-14.70%,119.00,-279.00,73.00,51.46,16.86%,8.89,8.68,-20.40%,-41.30%,-42.80%,5.70,0.00,0.00,,,,21.44%,-18.92%,20.91%,6.53%,19.11%,21.80%,-3.53%,-39.03%,4.67,4555851,22.03,25.89%
3041,"RDIV","Invesco S&P Ultra Dividend Revenue ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.58,4.22%,,,,,,,,,,,,,,,,,,,,,,,-15.75%,-18.66%,-14.67%,-14.05%,-2.10%,-5.28%,-11.64%,-21.93%,0.57,70543,37.45,1.11%
3042,"RDN","Radian Group Inc.","Financial","Insurance - Specialty","-",4029.07,5.92,8.14,2.87,3.33,0.99,80.26,17.20,25.94,0.32,0.90,3.51%,18.80%,4.33,37.90%,-0.50%,6.00%,-3.30%,1208.40,719.60,158.30,155.65,5.54%,3.58,8.62,10.10%,18.30%,15.10%,,0.37,0.37,,83.50%,59.50%,18.92%,31.62%,23.98%,34.45%,3.11%,9.89%,20.77%,-1.61%,1.36,3267579,25.64,1.63%
3043,"RDNT","RadNet, Inc.","Healthcare","Diagnostics & Research","-",1662.03,,85.06,,1.12,5.09,18.30,42.29,5.68,1.58,,,0.00%,-0.23,-41.70%,9.20%,14.30%,-780.90%,1478.90,-13.40,57.70,50.08,3.31%,5.58,1.66,-0.60%,-4.20%,3.10%,0.80,2.60,2.65,20.80%,3.70%,-0.90%,37.39%,65.83%,49.61%,53.58%,3.20%,8.55%,33.38%,-1.87%,0.93,275011,28.92,2.19%
3044,"RDOG","ALPS REIT Dividend Dogs ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,2.09,6.19%,,,,,,,,,,,,,,,,,,,,,,,-15.41%,-16.68%,-26.12%,-10.64%,-1.24%,-2.70%,-13.52%,-28.90%,0.44,557,33.76,1.49%
3045,"RDVT","Red Violet, Inc.","Technology","Software - Application","-",263.47,222.58,,,4.77,3.77,8.55,109.78,5.25,2.32,,,0.00%,0.09,-10.60%,44.10%,15.00%,560.00%,55.20,1.20,14.00,8.35,9.11%,36.42,0.76,1.60%,1.70%,0.40%,9.00,0.00,0.00,77.90%,0.80%,2.20%,-3.32%,-9.63%,-18.78%,-13.94%,6.93%,11.90%,-0.26%,-28.25%,0.50,10405,19.81,3.50%
3046,"RDVY","First Trust Rising Dividend Achievers ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.03,2.28%,,,,,,,,,,,,,,,,,,,,,,,-2.98%,-3.29%,-0.75%,2.30%,1.77%,1.16%,1.03%,-8.62%,0.81,583155,44.93,1.15%
3047,"REET","iShares Global REIT ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.57,2.56%,,,,,,,,,,,,,,,,,,,,,,,-6.32%,-4.22%,-14.60%,-2.16%,-2.54%,-1.98%,-4.18%,-17.29%,0.50,331557,22.22,1.28%
3048,"REFI","Chicago Atlantic Real Estate Finance, Inc.","Real Estate","REIT - Mortgage","-",267.73,7.39,6.37,,4.60,0.96,58.20,,15.22,0.25,1.88,12.89%,91.20%,1.98,23.60%,,68.40%,35.40%,58.20,35.20,17.88,14.66,1.01%,2.41,0.15,10.50%,13.10%,10.00%,0.60,0.14,0.14,92.80%,60.50%,60.50%,-0.82%,-6.81%,-10.67%,-3.19%,2.58%,5.08%,-0.65%,-17.10%,0.59,36160,14.59,1.39%
3049,"REG","Regency Centers Corporation","Real Estate","REIT - Retail","S&P 500",9665.87,24.96,25.63,,7.80,1.58,135.95,,35.38,0.41,2.60,4.65%,113.50%,2.24,32.80%,4.50%,4.80%,-50.10%,1238.60,384.90,171.21,169.68,1.77%,3.49,3.00,3.50%,6.30%,4.80%,,0.62,0.62,71.60%,38.10%,31.10%,-11.30%,-14.93%,-15.45%,-10.50%,-4.82%,-5.54%,-8.86%,-19.34%,1.09,934147,55.94,1.41%
3050,"REIT","ALPS Active REIT ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.82,3.49%,,,,,,,,,,,,,,,,,,,,,,,-6.93%,-5.53%,-13.42%,-1.97%,-2.38%,-1.88%,-5.23%,-19.08%,0.29,973,23.41,1.19%
3051,"REK","ProShares Short Real Estate","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.23,1.08%,,,,,,,,,,,,,,,,,,,,,,,6.89%,6.94%,14.79%,3.68%,2.84%,2.93%,5.82%,-8.50%,0.58,39037,21.11,-1.40%
3052,"RELL","Richardson Electronics, Ltd.","Technology","Electronic Components","-",250.94,9.48,14.49,0.47,0.95,1.58,10.20,,10.99,1.70,0.24,1.38%,15.70%,1.83,933.10%,10.40%,27.30%,110.40%,265.50,26.50,14.10,12.44,5.55%,3.72,0.69,14.00%,18.30%,13.30%,4.00,0.00,0.00,32.90%,10.80%,10.00%,-17.97%,-28.90%,27.59%,-18.47%,4.85%,-3.74%,-13.75%,-36.16%,1.04,192414,17.39,-0.06%
3053,"RELX","RELX PLC","Industrials","Specialty Business Services","-",58115.81,29.20,,4.11,5.48,12.53,140.24,43.91,2.45,0.22,0.62,2.04%,51.70%,1.05,11.70%,3.10%,27.00%,30.10%,10612.60,2027.50,1912.40,1878.64,0.04%,1.00,0.81,11.20%,50.00%,17.40%,0.60,1.55,1.78,64.40%,27.10%,19.10%,0.39%,9.65%,6.93%,10.71%,-1.39%,-3.84%,6.70%,-9.44%,0.76,616556,30.69,1.56%
3054,"RELY","Remitly Global, Inc.","Technology","Software - Infrastructure","-",3068.51,,,,4.25,6.04,6.78,,2.83,2.52,,,,-0.70,-188.00%,,49.90%,-14.00%,721.40,-119.00,175.11,138.15,2.02%,2.63,2.79,-16.80%,-24.90%,-25.40%,3.10,0.00,0.01,61.70%,-17.40%,-16.50%,22.25%,58.39%,59.57%,49.26%,-5.71%,-1.92%,32.44%,-11.36%,0.97,1026989,17.09,-2.34%
3055,"REMX","VanEck Rare Earth/Strategic Metals ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.19,1.46%,,,,,,,,,,,,,,,,,,,,,,,-4.71%,-12.70%,-16.72%,6.59%,-1.40%,0.98%,-6.91%,-23.31%,0.30,65082,81.18,0.38%
3056,"RENE","Cartesian Growth Corporation II","Financial","Shell Companies","-",305.04,35.25,,,,1.35,762.59,,7.84,0.01,,,0.00%,0.30,215.00%,,,,,8.60,28.75,23.00,0.08%,0.20,0.02,3.60%,3.90%,,2.30,0.02,0.00,,,,2.51%,4.84%,,3.51%,0.40%,0.88%,3.46%,-8.93%,0.04,3693,10.61,0.00%
3057,"REPL","Replimune Group, Inc.","Healthcare","Biotechnology","-",1107.62,,,,,2.32,1.90,,8.41,10.27,,,,-2.86,-32.40%,,,-23.70%,,-156.70,66.00,45.27,15.69%,11.86,7.10,-31.40%,-35.80%,,17.50,0.09,0.10,,,,-8.63%,-0.41%,40.22%,-28.35%,4.82%,7.94%,-5.84%,-33.98%,0.62,371774,19.49,1.46%
3058,"RESP","WisdomTree U.S. ESG Fund","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.62,1.43%,,,,,,,,,,,,,,,,,,,,,,,2.62%,1.42%,1.74%,6.31%,0.65%,1.62%,3.18%,-5.61%,0.11,250,43.66,0.97%
3059,"RETA","Reata Pharmaceuticals, Inc.","Healthcare","Biotechnology","-",3518.86,,,,2345.90,,10.97,,-3.54,8.42,,,,-9.65,-4.30%,-46.00%,-77.80%,-55.00%,1.50,-354.20,36.95,30.57,16.76%,3.56,5.12,-64.90%,,420.00%,6.10,,,,,,199.22%,151.46%,243.42%,142.98%,0.27%,-0.69%,79.47%,-13.48%,0.26,378107,92.31,-0.25%
3060,"REVG","REV Group, Inc.","Industrials","Farm & Heavy Construction Machinery","-",614.01,319.70,8.76,,0.26,1.40,26.70,11.79,7.55,0.40,0.20,1.90%,584.80%,0.03,-60.00%,0.60%,8.70%,,2378.10,2.40,58.34,30.69,3.06%,6.38,0.94,0.20%,0.50%,4.70%,1.80,0.57,0.57,10.50%,1.00%,0.10%,-9.98%,-24.10%,-12.67%,-16.40%,0.70%,-4.62%,-13.91%,-35.61%,0.98,144363,10.55,0.19%
3061,"REW","ProShares UltraShort Technology","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.14,1.25%,,,,,,,,,,,,,,,,,,,,,,,-34.54%,-40.45%,-46.73%,-48.16%,-14.72%,-18.38%,-37.79%,-57.38%,1.06,23706,11.38,-5.75%
3062,"REX","REX American Resources Corporation","Basic Materials","Specialty Chemicals","-",605.16,22.28,15.60,2.79,0.71,1.36,2.15,15.44,25.73,16.23,,,0.00%,1.57,-40.80%,13.60%,-5.60%,-60.70%,855.00,27.70,17.41,15.28,2.20%,3.66,0.34,4.90%,6.30%,3.60%,6.80,0.00,0.00,6.40%,3.00%,3.20%,5.81%,8.61%,16.34%,9.73%,19.00%,19.95%,15.08%,-3.72%,0.79,72207,34.96,-0.74%
3063,"REXR","Rexford Industrial Realty, Inc.","Real Estate","REIT - Industrial","-",11685.16,57.60,41.64,5.76,17.27,1.52,46.08,60.20,35.99,1.18,1.52,2.79%,132.60%,0.95,15.40%,31.40%,32.20%,8.40%,676.70,171.50,195.37,187.22,7.36%,8.90,13.78,1.90%,2.80%,2.60%,,0.32,0.00,76.40%,34.30%,25.30%,-10.22%,-0.85%,-12.44%,-0.16%,-0.92%,-2.55%,-5.21%,-20.57%,0.65,1002059,54.55,1.49%
3064,"REYN","Reynolds Consumer Products Inc.","Consumer Cyclical","Packaging & Containers","-",5707.47,25.53,17.39,15.02,1.48,3.12,114.15,,8.69,0.24,0.92,3.39%,64.90%,1.06,-20.40%,5.20%,3.40%,-67.30%,3846.00,223.00,209.90,54.20,4.75%,7.48,2.57,4.60%,12.30%,8.40%,2.30,1.13,1.14,19.80%,10.00%,5.80%,-1.88%,-13.91%,0.33%,-9.57%,-2.99%,-1.69%,-5.40%,-16.58%,0.74,255205,27.11,0.04%
3065,"REZ","iShares Residential and Multisector Real Estate ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,2.37,3.43%,,,,,,,,,,,,,,,,,,,,,,,-5.37%,-3.72%,-18.36%,1.16%,-3.12%,-1.77%,-5.36%,-22.39%,0.53,21467,69.13,0.88%
3066,"REZI","Resideo Technologies, Inc.","Industrials","Security & Protection Services","-",2492.33,9.78,7.25,,0.39,0.94,8.54,20.60,17.71,1.95,,,0.00%,1.70,16.50%,7.10%,2.90%,-34.60%,6413.00,253.00,147.00,143.99,1.48%,3.05,2.13,4.00%,10.20%,7.80%,1.70,0.54,0.54,27.30%,6.30%,3.90%,-9.48%,2.85%,-28.16%,0.97%,-0.95%,-3.91%,-10.28%,-32.94%,0.70,487323,16.61,0.24%
3067,"RF","Regions Financial Corporation","Financial","Banks - Regional","S&P 500",16811.88,7.57,7.81,,2.95,1.09,1.90,9.91,16.28,9.34,0.80,4.50%,31.30%,2.35,-8.60%,5.10%,56.00%,12.80%,5691.00,2210.00,935.00,929.75,3.06%,2.12,28.47,1.40%,15.30%,23.40%,,0.15,0.15,,83.40%,38.80%,-23.59%,-21.81%,-16.01%,-17.53%,6.42%,0.49%,-15.14%,-26.92%,0.54,7317018,17.78,2.30%
3068,"RFCI","RiverFront Dynamic Core Income ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.08,4.87%,,,,,,,,,,,,,,,,,,,,,,,0.13%,-0.73%,-4.28%,-0.26%,-1.23%,-1.51%,-0.92%,-4.65%,0.15,592,22.06,0.23%
3069,"RFDA","RiverFront Dynamic US Dividend Advantage ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.45,3.38%,,,,,,,,,,,,,,,,,,,,,,,-0.07%,-2.79%,-7.30%,2.38%,0.54%,0.78%,0.09%,-10.08%,0.78,2758,42.93,0.34%
3070,"RFDI","First Trust RiverFront Dynamic Developed International ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,2.66,4.69%,,,,,,,,,,,,,,,,,,,,,,,2.91%,5.51%,-6.30%,6.62%,-0.86%,0.27%,5.38%,-8.26%,0.83,4435,56.68,1.07%
3071,"RFEM","First Trust RiverFront Dynamic Emerging Markets ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,3.92,7.29%,,,,,,,,,,,,,,,,,,,,,,,2.34%,3.22%,-10.29%,6.16%,1.93%,1.79%,2.91%,-13.77%,4.42,7781,53.81,1.78%
3072,"RFFC","RiverFront Dynamic US Flex-Cap ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.65,1.54%,,,,,,,,,,,,,,,,,,,,,,,1.43%,0.52%,1.48%,4.78%,1.65%,2.31%,2.49%,-6.48%,0.35,688,42.19,1.47%
3073,"RFI","Cohen & Steers Total Return Realty Fund, Inc.","Financial","Closed-End Fund - Equity","-",291.52,,,,26.01,0.95,,,11.59,,0.96,8.72%,,-3.51,,,65.50%,,11.21,,26.48,26.47,0.06%,0.29,0.02,,,,,,,,,,-13.78%,-12.34%,-20.39%,-9.98%,-3.20%,-5.43%,-13.08%,-31.19%,0.62,36863,11.01,1.38%
3074,"RFV","Invesco S&P MidCap 400 Pure Value ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.84,1.98%,,,,,,,,,,,,,,,,,,,,,,,-7.87%,-3.77%,2.94%,2.77%,0.81%,1.27%,-0.04%,-15.59%,0.37,14071,93.24,1.39%
3075,"RGCO","RGC Resources, Inc.","Utilities","Utilities - Regulated Gas","-",187.97,,16.16,,1.83,1.87,28.48,,10.12,0.66,0.79,4.18%,,-0.13,-384.60%,6.20%,28.80%,122.20%,102.70,-1.20,9.91,7.78,0.24%,0.69,0.02,-0.40%,-1.20%,-12.50%,0.70,1.12,1.37,43.20%,1.90%,-1.20%,-22.12%,-21.73%,-4.25%,-14.24%,1.30%,-10.39%,-14.56%,-22.97%,0.44,12080,18.91,-0.47%
3076,"RGNX","REGENXBIO Inc.","Healthcare","Biotechnology","-",732.55,,,,6.68,1.70,2.21,,10.70,8.24,,,,-6.25,-323.10%,61.10%,-14.00%,14.10%,109.60,-270.30,43.45,39.98,12.16%,10.83,4.86,-31.60%,-49.70%,-50.90%,3.50,0.00,0.00,60.80%,,,-17.05%,-19.33%,-6.43%,-19.75%,-6.94%,-5.64%,-20.62%,-49.06%,0.78,348709,18.20,-0.33%
3077,"RGP","Resources Connection, Inc.","Industrials","Consulting Services","-",520.82,8.39,10.96,1.05,0.64,1.28,5.01,7.43,12.16,3.11,0.56,3.60%,29.50%,1.85,158.30%,6.70%,-8.70%,-64.70%,808.20,63.10,33.47,32.18,1.08%,1.53,0.35,11.50%,16.00%,15.90%,2.60,0.00,0.00,40.50%,10.40%,7.80%,-13.26%,-18.82%,-10.67%,-15.29%,4.03%,-0.82%,-12.34%,-32.83%,0.36,81786,15.57,1.30%
3078,"RGR","Sturm, Ruger & Company, Inc.","Industrials","Aerospace & Defense","-",926.81,12.93,14.36,,1.60,2.89,7.12,,18.22,7.38,1.62,3.08%,59.00%,4.07,-43.50%,2.70%,-10.30%,-52.50%,578.70,72.50,17.68,17.24,3.86%,5.75,0.67,16.30%,20.30%,26.40%,4.30,0.00,0.00,27.70%,14.10%,12.50%,-9.95%,5.45%,-13.21%,3.85%,-3.47%,-5.93%,-0.70%,-17.73%,0.64,73607,52.57,-0.15%
3079,"RHI","Robert Half International Inc.","Industrials","Staffing & Employment Services","S&P 500",7297.43,11.96,12.99,,1.02,4.49,13.32,17.01,15.02,5.07,1.92,2.84%,31.10%,5.64,12.50%,6.60%,-5.40%,-25.10%,7139.60,611.70,106.42,105.49,7.47%,7.73,7.88,20.90%,39.90%,41.40%,2.00,0.00,0.00,42.20%,11.60%,8.60%,-15.29%,-12.50%,-22.74%,-8.57%,-1.33%,-6.92%,-11.93%,-26.85%,0.70,708924,67.50,0.51%
3080,"RHP","Ryman Hospitality Properties, Inc.","Real Estate","REIT - Hotel & Motel","-",5050.56,24.14,18.60,1.56,2.53,50.19,15.86,22.39,1.80,5.70,4.00,4.43%,28.20%,3.74,172.50%,8.80%,64.40%,331.30%,1998.60,214.90,55.18,53.40,2.57%,3.24,1.37,5.40%,340.40%,9.70%,,28.81,0.00,33.60%,21.20%,10.80%,-3.61%,1.58%,7.46%,10.48%,-2.68%,0.63%,3.31%,-8.09%,0.58,246471,90.35,0.47%
3081,"RICK","RCI Hospitality Holdings, Inc.","Consumer Cyclical","Restaurants","-",721.99,15.28,11.18,0.38,2.62,2.55,31.67,20.34,29.28,2.36,0.24,0.32%,3.87%,4.89,45.60%,13.10%,12.20%,-29.40%,275.80,45.70,9.43,8.10,4.44%,6.34,0.36,,,13.00%,0.80,0.81,0.89,61.30%,25.00%,,-9.38%,-15.68%,32.61%,-19.80%,0.20%,-1.04%,-6.44%,-23.30%,0.49,27948,74.74,0.47%
3082,"RIGS","RiverFront Strategic Income Fund","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.67,2.99%,,,,,,,,,,,,,,,,,,,,,,,-0.10%,-1.09%,-3.21%,-0.35%,-1.11%,-1.34%,-0.75%,-4.40%,0.21,6752,22.55,0.10%
3083,"RILY","B. Riley Financial, Inc.","Financial","Financial Conglomerates","-",1071.50,,,,0.99,2.85,5.10,,13.34,7.45,4.00,10.52%,,-5.11,-139.50%,22.20%,104.10%,218.50%,1077.70,-140.60,28.59,15.57,25.22%,7.96,3.93,-2.30%,-30.80%,-1.30%,,6.22,14.31,71.30%,-7.40%,-13.00%,-2.56%,-14.78%,-26.34%,11.14%,9.35%,21.24%,-6.13%,-35.67%,0.44,215009,38.01,2.37%
3084,"RINF","ProShares Inflation Expectations ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.51,1.54%,,,,,,,,,,,,,,,,,,,,,,,0.48%,-1.07%,4.36%,0.85%,2.49%,3.03%,1.40%,-8.02%,0.22,3759,33.24,0.04%
3085,"RING","iShares MSCI Global Gold Miners ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.49,2.09%,,,,,,,,,,,,,,,,,,,,,,,10.65%,7.36%,-10.99%,5.15%,-9.43%,-8.87%,5.26%,-16.65%,0.20,37553,23.48,0.51%
3086,"RIO","Rio Tinto Group","Basic Materials","Other Industrial Metals & Mining","-",102439.56,8.02,,,1.84,1.97,11.46,,30.97,5.33,9.09,14.87%,34.80%,7.62,-41.10%,6.80%,2.10%,-45.60%,55554.00,12420.00,1620.30,1431.45,0.45%,1.84,6.40,12.30%,24.20%,22.70%,1.60,0.22,0.24,,35.50%,22.40%,-11.63%,-7.59%,-14.98%,-14.16%,-1.64%,-5.70%,-6.05%,-24.09%,1.12,3898073,61.12,2.91%
3087,"RIOT","Riot Platforms, Inc.","Financial","Capital Markets","-",1910.13,,,,7.37,1.67,6.82,,6.53,1.60,,,,-3.44,75.30%,295.00%,-8.30%,,259.20,-509.60,167.34,154.57,14.18%,1.00,21.91,,,-43.50%,3.30,0.00,0.00,25.30%,,,81.70%,147.06%,69.83%,222.12%,-2.65%,2.75%,52.64%,-24.32%,0.83,18291149,10.92,-1.36%
3088,"RISR","FolioBeyond Rising Rates ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.94,5.93%,,,,,,,,,,,,,,,,,,,,,,,2.97%,6.07%,1.35%,3.75%,2.01%,2.91%,4.71%,-4.83%,0.24,8711,32.78,-0.05%
3089,"RIV","RiverNorth Opportunities Fund, Inc.","Financial","Closed-End Fund - Equity","-",235.34,,,,,,,,,,1.53,13.98%,,-0.18,,,,,,,21.45,21.10,0.08%,0.23,0.02,,,,,,,,,,-7.35%,-13.55%,-21.36%,-10.67%,-0.97%,-1.27%,-10.80%,-28.14%,0.58,43610,10.97,-0.27%
